store,category,subcategory,product_name,pack_size,unit_price,price_gbp,was_price_gbp,offer
Asda Express,Baby,Baby Milk,Aptamil 2 Follow On Milk 6-12 Months 200ml,200ml,£7.75/L,1.55,,
Asda Express,Baby,Baby Milk,Aptamil 3 Toddler Milk 1-3 Years 200ml,200ml,£6.00/L,1.20,,
Asda Express,Baby,Baby Milk,Aptamil Breastmilk Substitute 1 from Birth First Infant Milk 200ml,200ml,£8.00/L,1.60,,
Asda Express,Baby,Baby Milk,Aptamil First Infant Milk from Birth - 6 Months 800g,800g,£20.31/kg,16.25,,
Asda Express,Baby,Baby Milk,Aptamil Follow On Milk 2 6-12 Months 800g,800g,£20.31/kg,16.25,,
Asda Express,Baby,Nappies & Wipes,Asda Little Angels 150 Nappy Bags with Tie Handles,150pk,0.8p each,1.20,,
Asda Express,Baby,"Food, Snacks & Drinks",Asda Little Angels Apple & Strawberry 6m+ 120g,120g,£7.08/kg,0.85,,
Asda Express,Baby,"Food, Snacks & Drinks","Asda Little Angels Strawberry, Blueberry & Apple 6m+ 120g",120g,£7.08/kg,0.85,,
Asda Express,Baby,Health,Ashton & Parsons Teething Gel 10ml,10ml,£690.00/L,6.90,,
Asda Express,Baby,Health,Bonjela Soothing Teething Gel 15ml,15ml,£350.00/L,5.25,,
Asda Express,Baby,Best Sellers 📈,Calpol Infant Sugar-Free Oral Suspension Paracetamol 2+ Months 100ml,100ml,£44.00/L,4.40,,
Asda Express,Baby,Best Sellers 📈,Calpol SixPlus Sugar-Free Suspension Paracetamol 6+ Years 80ml,80ml,£56.88/L,4.55,,
Asda Express,Baby,Baby Milk,Cow & Gate 1 First Baby Milk Formula From Birth 800g,800g,£16.44/kg,13.15,,
Asda Express,Baby,Baby Milk,Cow & Gate 1 First Infant Milk from Birth 200ml,200ml,£6.75/L,1.35,,
Asda Express,Baby,Baby Milk,Cow & Gate 2 Follow On Baby Milk Formula 200ml,200ml,£6.50/L,1.30,,
Asda Express,Baby,Baby Milk,Cow & Gate 3 Growing Up Milk Formula 200ml,200ml,£6.00/L,1.20,,
Asda Express,Baby,"Food, Snacks & Drinks",Ella's Kitchen Organic Spag Bol Baby Pouch 7+ Months 130g,130g,£15.00/kg,1.95,,
Asda Express,Baby,"Food, Snacks & Drinks",Ella's Kitchen Organic Strawberries and Apples Baby Pouch 4+ Months 120g,120g,£15.00/kg,1.80,,
Asda Express,Baby,"Food, Snacks & Drinks",Ella's Kitchen Prunes 4+ Months 70g,70g,£18.57/kg,1.30,,
Asda Express,Baby,"Food, Snacks & Drinks",Ella's Kitchen Sweet Potatoes Broccoli + Carrots from 4 Months 120g,120g,£15.00/kg,1.80,,
Asda Express,Baby,"Food, Snacks & Drinks",Ella's kitchen Cherry Chicken Roast Dinner with Stuffing 7+ Months 130g,130g,£15.00/kg,1.95,,
Asda Express,Baby,"Food, Snacks & Drinks",Farley's Rusks Original All Ages 4-6 Months Onwards 300g,300g,£9.00/kg,2.70,,
Asda Express,Baby,Baby Toiletries,Johnson's Baby Cotton Buds 200 Pieces,200pk,0.775p each,1.55,,
Asda Express,Baby,Baby Toiletries,Johnson's Baby Oil 200ml,200ml,£11.25/L,2.25,,
Asda Express,Baby,Baby Toiletries,Johnson's Baby Shampoo Without Dyes Sulphates & Soap 500 ml,500ml,£6.90/L,3.45,,
Asda Express,Baby,Baby Toiletries,Johnson's Baby Top-To-Toe Baby Wash 500ml,500ml,£6.90/L,3.45,,
Asda Express,Baby,Baby Toiletries,"NIVEA Kids Protect & Care Coloured Spray SPF50+, 200ml 200ML",200ml,£82.25/L,16.45,,
Asda Express,Baby,Health,Nurofen for Children Strawberry Oral Suspension 3mths to 9yrs Ibuprofen 100ml,100ml,£50.00/L,5.00,,
Asda Express,Baby,Nappies & Wipes,"Pampers Baby-Dry Nappy Pants Size 5, 33 Nappies, 12kg-17kg, Essential Pack",33pk,£0.40 each,13.32,15.95,£2.63 off
Asda Express,Baby,Nappies & Wipes,"Pampers Premium Protection New Baby Size 2, 44 Nappies, 4kg-8kg",44pk,£0.29 each,12.65,,
Asda Express,Baby,Baby Toiletries,Sudocrem Antiseptic Healing Cream 125g,125g,£76.80/kg,9.60,,
Asda Express,Bakery,"Wraps, Pittas & Naans",Asda 2 Garlic & Coriander Naans,2pk,£0.50 each,1.00,,
Asda Express,Bakery,Whole Cakes,Asda Exceptional Chocolate Fudge Cake,1pk,£4.60 each,4.60,,
Asda Express,Bakery,Whole Cakes,Asda Exceptional Lemon Drizzle Cake,1pk,£4.70 each,4.70,,
Asda Express,Bakery,Savoury Pies,Asda Melton Mowbray Pork Pie 140g,140g,£15.71/kg,2.20,,
Asda Express,Bakery,Savoury Pies,Asda Mini Pork Pies 100g,2pk,£0.83 each,1.65,,
Asda Express,Bakery,"Wraps, Pittas & Naans",Asda The Bakery 2 Garlic & Coriander Naans 380g,380g,£4.47/kg,1.70,,
Asda Express,Bakery,Small Cakes & Treats,Asda The Bakery 20 Flapjack Mini Bites 240g,20pk,£0.16 each,3.20,,
