category,subcategory,product_name,pack_size,unit_price,price_gbp,was_price_gbp,offer
Allergy & Hayfever,Allergy & Hayfever Eye Drops,Boots Allergy Eye Mist 10ml,10ml,"£1,019.00/L",10.19,,
Allergy & Hayfever,Allergy & Hayfever Eye Drops,Boots Hayfever Relief 2% W/V Eye Drops - 10ml,10ml,£435.00/L,4.35,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Eye Drops,Opticrom Hayfever Eye Drops 10ml,10ml,£745.00/L,7.45,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Eye Drops,Optrex Hayfever Relief Drops - 10ml,10ml,£765.00/L,7.65,,
Allergy & Hayfever,Allergy & Hayfever Eye Drops,The Eye Doctor Allergy Comfort Eye Drops 10ml,10ml,"£1,320.00/L",13.20,,
Allergy & Hayfever,Allergy & Hayfever Eye Drops,The Eye Doctor Biodegradable Hay Fever Relief Eyelid Wipes X20,20pk,£0.32 each,6.30,,
Allergy & Hayfever,Allergy & Hayfever Tablets,Allevia 120mg Hayfever Relief Tablets 15 Pack,15pk,£0.53 each,8.00,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Allevia 120mg Tablets 30 Packs,30pk,£0.46 each,13.70,,
Allergy & Hayfever,Allergy & Hayfever Tablets,Bells Allergy Relief 10 mg Film-Coated Tablets - 14 Tablets,14pk,£0.15 each,2.15,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Bells Allergy Relief 10mg Film-Coated Tablets - 30 Tablets,30pk,£0.11 each,3.15,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Bells Hayfever & Allergy Relief 10mg Tablets - 14 Tablets,14pk,£0.15 each,2.15,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Bells Hayfever And Allergy Relief 10mg Tablets - 30 Tablets,30pk,£0.11 each,3.15,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Benadryl Allergy One-A-Day 10mg - 30 Tablets,30pk,£0.42 each,12.65,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Benadryl Allergy Relief - 24 Capsules,24pk,£0.52 each,12.40,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Benadryl Allergy Relief Capsules 12 Pack,12pk,£0.66 each,7.95,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Boots Fexofenadine Hydrochloride 120mg Film-Coated Tablets - 10 Tablets,10pk,£0.43 each,4.29,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Boots Fexofenadine Hydrochloride 120mg Film-Coated Tablets - 30 Tablets,30pk,£0.30 each,8.99,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Boots Hayfever & Allergy Relief 10mg Tablets (14 Tablets),14pk,£0.25 each,3.49,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Boots Hayfever & Allergy Relief 10mg Tablets � 30 Tablets,30pk,£0.20 each,5.99,,
Allergy & Hayfever,Allergy & Hayfever Tablets,Boots One-A-Day Hayfever & Allergy Relief 10mg Tablets - 14 Tablets,14pk,£0.25 each,3.49,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Boots One-A-Day Hayfever & Allergy Relief 10mg Tablets - 30 Tablets,30pk,£0.20 each,5.99,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Clarityn 10mg Allergy Tablets 30 Pack,30pk,£0.42 each,12.65,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Clarityn Allergy 10mg Tablets 20 Tablets,20pk,£0.48 each,9.65,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Clarityn Allergy 1mg/ml Syrup Sugar Free Mixed Berries Flavour 60ml,60ml,£122.50/L,7.35,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Pirilieve Hayfever Relief 120mg Film-Coated Tablets 30 Pack,30pk,£0.46 each,13.75,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Piriteze Allergy Relief Tablets Cetirizine Pack of 30,30pk,£0.42 each,12.70,,2 for 25% off
Allergy & Hayfever,Allergy & Hayfever Tablets,Piriteze Antihistamine Allergy Relief Tablets Cetirizine Pack of 14,14pk,£0.53 each,7.40,,2 for 25% off
Allergy & Hayfever,Kids' Allergy & Hayfever,Becodefence Kids Allergy Defence 280 Sprays,20ml,£577.50/L,11.55,,2 for 25% off
Allergy & Hayfever,Kids' Allergy & Hayfever,Haymax Kids Organic Drug Free Allergen Barrier Balm 5ml,5ml,"£1,950.00/L",9.75,,
Allergy & Hayfever,Kids' Allergy & Hayfever,Piriteze Antihistamine Allergy Relief Syrup For Kids Sugar Free Banana Flavour 70ml,70ml,£107.14/L,7.50,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Becodefence Allergy Defence 120 Sprays,20ml,£660.00/L,13.20,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Beconase Hayfever Relief For Adults Nasal Spray 100 Sprays,100pk,£0.08 each,7.80,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,"Benacort Hayfever Relief For Adults 64 Micrograms, Nasal Spray",60pk,£0.19 each,11.45,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Benadryl Allergy Natural Relief Spray 15ml,15ml,£423.33/L,6.35,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Boots Adult Hayfever Relief 0.05% Nasal Spray 100 Sprays,100pk,£0.06 each,5.50,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Boots Allergy Barrier Nasal Spray 800mg (Up To 200 Sprays),,,7.15,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Boots Decongestant 0.05% W/V Nasal Spray 15ml,15ml,£140.00/L,2.10,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Boots Dual Defence Nasal Spray 20ml,20ml,£349.50/L,6.99,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Boots Nasal Stick Inhaler 2 Inhalers,2pk,£1.00 each,1.99,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Boots Pharmaceuticals Max Strength Sinus Pressure And Pain Relief Capsules x16,16pk,£0.15 each,2.40,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Boots Saline Nasal Spray 100ml,100ml,£69.90/L,6.99,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Clarinaze Hayfever Relief 0.05% W/W Nasal Spray - 60 Sprays,10g,"£1,155.00/kg",11.55,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Neilmed Nasogel Drip Free Gel Spray 30ml,30ml,£401.67/L,12.05,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Neilmed Sinus Rinse Kit,60pk,£0.38 each,23.05,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Olbas Inhaler Nasal Stick Twin Pack - 2 x 695mg,2pk,£1.80 each,3.60,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Olbas Oil Inhalant Decongestant 12ml,12ml,£495.83/L,5.95,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Olbas Oil Inhalant Decongestant 30ml,30ml,£320.00/L,9.60,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Otrivine Adult Nasal Drops 10ml,10ml,£515.00/L,5.15,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Otrivine Adult Nasal Spray Metered Dose 0.1% 10ml,10ml,£570.00/L,5.70,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Otrivine Congestion Relief 0.1% Nasal Spray 10ml,10ml,£735.00/L,7.35,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Otrivine Natural With Eucalyptus Nasal Spray 20ml,20ml,£372.50/L,7.45,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Otrivine Sinusitis Relief 0.1% W/V Nasal Spray 10ml,10ml,£735.00/L,7.35,,
Allergy & Hayfever,Nasal Spray & Sinus Care,"Pirinase Hayfever Relief Nasal Spray For Adults, Non Drowsy Hayfever Medicine 60 Sprays",9ml,"£1,161.11/L",10.45,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Sterimar Hayfever Allergy Relief Nasal Spray 50ml,50ml,£144.00/L,7.20,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Sterimar Isotonic Nasal Hygiene Spray 100ml,100ml,£112.00/L,11.20,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Sterimar Stop And Protect Allergy Response Nasal Spray,20ml,£560.00/L,11.20,,2 for 25% off
Allergy & Hayfever,Nasal Spray & Sinus Care,Sudafed Blocked Nose Spray- 15ml,15ml,£433.33/L,6.50,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Sudafed Natural Relief Blocked Nose Spray - 15ml,15ml,£513.33/L,7.70,,
Allergy & Hayfever,Nasal Spray & Sinus Care,Sudafed Plus Blocked Nose 1mg/50mg/ml Nasal Spray Solution � 10ml,10ml,£860.00/L,8.60,,
