store,category,subcategory,product_name,pack_size,unit_price,price_gbp,was_price_gbp,offer
Longdan,Alcohol,Alcohol,7DROPS Soju Plum Alc. 12% 360ml,,,6.60,,
Longdan,Alcohol,Alcohol,AZUMANOUEN Bara Rose Umeshu Plum Wine 13.5% 720ml,,,32.20,,
Longdan,Alcohol,Alcohol,BREWGURU Highball Lemon ABV 4% 500ml,,,5.90,,
Longdan,Alcohol,Alcohol,BREWGURU Highball Shine Muscat ABV 4% 500ml,,,5.90,,
Longdan,Alcohol,Alcohol,CHANG Beer Small Bottle 5% 320ml,,,2.10,,
Longdan,Alcohol,Alcohol,CHATEUL SOOROK Lychee Soju Alc 12% 360ml,,,6.60,,
Longdan,Alcohol,Alcohol,CHATEUL SOOROK Moscato Soju Alc 12% 360ml,,,6.60,,
Longdan,Alcohol,Alcohol,CHATEUL SOOROK Original Soju 14% 360ml,,,6.60,,
Longdan,Alcohol,Alcohol,CHATEUL SOOROK Strawberry Soju Alc 12% 360ml,,,6.60,,
Longdan,Alcohol,Alcohol,CHATEUL SOOROK Watermelon Soju 14% 360ml,,,6.60,,
Longdan,Alcohol,Alcohol,HAKUSHIKA Hanakohaku Sake Plum Flavor Acl 10.5% 300ml,,,9.20,,
Longdan,Alcohol,Alcohol,HAKUSHIKA Hanakohaku Sake Yuzu & Hyuganatsu Flavor Acl 10.5% 300ml,,,9.20,,
Longdan,Alcohol,Alcohol,HAKUSHIKA Honjozo Namachozo 13.5% 300ml,,,13.80,,
Longdan,Alcohol,Alcohol,HAKUSHIKA Junmai Ginjo 14% 300ml,,,10.35,,
Longdan,Alcohol,Alcohol,HAKUSHIKA Tokubetsu Honjozo Yamadanishiki Acl 14% 180ml,,,6.35,,
Longdan,Alcohol,Alcohol,HAKUSHIKA Tokubetsu Junmai Yamadanishiki 14% 180ml,,,6.30,,
Longdan,Alcohol,Alcohol,HAKUSHIKA Yamada Nishiki Umakuchi Honjozo Alc 14.5% 720ml,,,20.70,,
Longdan,Alcohol,Alcohol,Hanoi Beer 330ml,,,2.05,,
Longdan,Alcohol,Alcohol,Harumi Honjozo Sake 720ml,,,14.95,,
Longdan,Alcohol,Alcohol,Harumi Junmai-Shu Sake 720ml,,,17.25,,
Longdan,Alcohol,Alcohol,KOOKSOONDANG Rice Makgeolli Peach Can 350ml (Alc 3%),,,3.65,,
Longdan,Alcohol,Alcohol,LOTTE Chumchurum Blueberry Alc 12% 350ml,,,6.70,,
Longdan,Alcohol,Alcohol,LOTTE Chumchurum Grape Alc 12% 350ml,,,6.70,,
Longdan,Alcohol,Alcohol,LOTTE Chumchurum Sunhari Apple Mango Alc 12% 360ml,,,6.70,,
Longdan,Alcohol,Alcohol,LOTTE Chumchurum Sunhari Yogurt Alc.12% Alc 360ml,,,6.70,,
Longdan,Alcohol,Alcohol,NAKANO BC Beninanko Plum Wine 20.5% 720ml,,,32.20,,
Longdan,Alcohol,Alcohol,Plum Wine Doll Glass Bottle And Cup Vol 10% 180ml,,,9.45,,
Longdan,Alcohol,Alcohol,Plum Wine Geisha Bottle And Cup Vol 10% 180ml,,,8.30,,
Longdan,Alcohol,Alcohol,SAIGON Cider Apple & Ginger 4.7% ABV 330ml,,,2.55,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,AROY-D Canned Toddy Palm in Syrup (Whole) 565g,,,4.15,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,AROY-D Lychee In Syrup 565g,,,4.60,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,AROY-D Young Green Jackfruit 565g,,,2.45,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,ASAICHIBAN Kotsubu Natto (4pcs) 160g,,,2.30,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,AZUMA Gokusho Ichiban Natto (3pcs) 135g,,,2.05,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,AZUMA Orashidare Natto (3pcs) 120g,,,2.05,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Aoyama Sushi Ginger Pink In Bag 1.5kg,,,4.85,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Aoyama Sushi Ginger Pink In Jar 190g,,,1.30,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Aoyama Sushi Ginger Pink In Jar 340g,,,1.85,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Aoyama Sushi Ginger White In Bag 1.5kg,,,4.85,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Aoyama Sushi Ginger White In Jar 190g,,,1.30,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Aoyama Sushi Ginger White In Jar 340g,,,1.85,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CHANG SI Big Red Dates 454g,,,4.60,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Ambient Kimchi 150g,,,2.05,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Chonggak Kimchi 450g,,,7.50,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Cubed Radish Kimchi 450g,,,5.20,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Plantbased Sliced Cabbage Kimchi (Jar) 500g,,,7.50,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Roasted Nori for Gimbap (10sheet) 22g,,,2.30,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Sliced Cabbage Kimchi (Jar) 300g,,,4.30,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Sliced Cabbage Kimchi (Jar) 500g,,,5.75,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Sliced Cabbage Kimchi 150G,,,2.05,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Sliced Cabbage Kimchi 1kg,,,8.65,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Sliced Cabbage Kimchi 500G,,,5.20,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Whole Cabbage Kimchi 500g,,,5.55,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ BIBIGO Yeolmu Young Radish Kimchi 450g,,,7.50,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,CJ Sliced Wrapping Radish Pickled Sweet Sour 320g,,,2.90,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,COCK BRAND Pickled Sour Bamboo Shoot Slice 400g,,,1.96,2.30,15% off
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,COCK BRAND Pickled Sour Mustard  with Chilli 300g,,,1.19,1.40,15% off
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,COCK BRAND Pickled Sour Mustard 300g,,,1.19,1.40,15% off
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Chin Chin-Canned Green Ai-Yu Jelly (Pandan Flavor) 540g,,,4.05,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DONGWON Fiery Hot Sauce Tuna 135g,,,1.91,2.55,25% off
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DONGWON Light Standard Tuna 135g,,,1.91,2.55,25% off
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DONGWON Roasted Seaweed Sheets For Kimbap (10 Sheets) 22g,,,2.18,2.90,25% off
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DONGWON Seasoned Seaweed Flakes Original 50g,,,3.45,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DONGWON Tuna With BBQ Sauce 135g,,,1.91,2.55,25% off
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DRAGON BOAT Shiitake Mushrooms (Poku) 284g,,,0.70,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DS CJO Dried Seaweed 25g,,,1.15,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DS CJO Dried Seaweed 50g,,,2.10,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DS CJO Nori Seaweed for Sushi (10 sheets) 20g,,,2.90,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DS JONGGA Fried kimchi 160g,,,2.55,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DS JONGGA Kimchi 160g,,,2.55,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DS JONGGA Sliced Cabbage Kimchi (Pouch) 300g,,,4.15,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,DS JONGGA Sliced Cabbage Kimchi (Pouch) 700g,,,8.25,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Dried Bamboo Strips 200g,,,3.25,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,Dried Young Bamboo Shoots 250g,,,4.05,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,FAN SAO GUANG Seasoned Enoki Mushroom 280g,,,2.75,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,FurnYou- Vegan Minced Meat 170g,,,2.30,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,GOLD PLUM Premium Shiitake Mushroom 100g,,,2.90,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,GOLDEN LOTUS Dried Banana 300g,,,2.30,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,GUO SHENG Pickled Lettuce 90g,,,0.65,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,HARUMI Dashi Kombu Dried Kelp 115g,,,2.65,,
Longdan,Can&Preserved&Dried,Can&Preserved&Dried,HARUMI Roasted Black Sesame Seeds 100g,,,2.55,,
