store,category,subcategory,product_name,pack_size,unit_price,price_gbp,was_price_gbp,offer
Sainsbury's Local,Baby,Baby,"Aptamil 1 First Infant Baby Milk Liquid Formula, Ready to Feed, From Birth, 200ml",200ml,£8.00/L,1.60,,
Sainsbury's Local,Baby,Baby,"Aptamil 1 First Infant Baby Milk Liquid Formula, from Birth, 6x200ml",6pk,£7.33/L,8.80,,
Sainsbury's Local,Baby,Baby,"Aptamil 2 Follow on Liquid Formula, Ready to Feed, 6-12 months, 200ml",200ml,£7.75/L,1.55,,
Sainsbury's Local,Baby,Baby,"Aptamil 3 Toddler Ready to drink Milk, for Toddlers 1-2 Years, 200ml",200ml,£7.25/L,1.45,,
Sainsbury's Local,Baby,Baby,Bear Fruit Splits Raspberry Pineapple 5 x 20g,5pk,£37.50/kg,3.75,,
Sainsbury's Local,Baby,Baby,Bear Fruit Splits Strawberry & Apple 5 x 20g,5pk,£37.50/kg,3.75,,
Sainsbury's Local,Baby,Baby,Calpol Infant Sugar Free Oral Suspension For 2+ Months 100ml,100ml,£45.00/L,4.50,,
Sainsbury's Local,Baby,Baby,Calpol Six Plus Fast Melts 6+ Years Strawberry Flavour Tablets x12,12pk,£0.65 each,7.85,,
Sainsbury's Local,Baby,Baby,Calpol Six Plus Suspension Sugar Free 6+ Years Strawberry Flavour 80ml,80ml,£56.25/L,4.50,,
Sainsbury's Local,Baby,Baby,"Cow & Gate 1 First Infant Baby Milk Liquid Formula, Ready to Feed, From Birth, 200ml",200ml,£7.00/L,1.40,,
Sainsbury's Local,Baby,Baby,"Cow & Gate 2 Follow On Baby Milk Formula Powder, 6-12 Months, 800g",800g,£16.50/kg,13.20,,
Sainsbury's Local,Baby,Baby,"Cow & Gate Banana Porridge Baby Cereal, 4-6+ Months, 125 g",125g,£20.40/kg,2.55,,
Sainsbury's Local,Baby,Baby,Cow & Gate Toddler Milk (1-2 years) (Liquid),200ml,£7.00/L,1.40,,
Sainsbury's Local,Baby,Baby,Ella's Kitchen Organic Strawberries and Apples Baby Pouch 4+ Months 120g,120g,£13.75/kg,1.65,,
Sainsbury's Local,Baby,Baby,Ella's Kitchen Prunes 6+ Months 70g,70g,£17.14/kg,1.20,,
Sainsbury's Local,Baby,Baby,Ella's Kitchen Spag Bol with Cheese 7+ Months 130g,130g,£16.92/kg,2.20,,
Sainsbury's Local,Baby,Baby,Ella's Kitchen Strawberry + Banana Melty Puffs from 6+ Months 20g,20g,£50.00/kg,1.00,,
Sainsbury's Local,Baby,Baby,Ella's Kitchen Sweetcorn + Carrot Melty Sticks 7+ Months 16g,16g,£103.13/kg,1.65,,
Sainsbury's Local,Baby,Baby,Ella's kitchen Cheesy Pie with Veggies 7+ Months 130g,130g,£15.77/kg,2.05,,
Sainsbury's Local,Baby,Baby,Johnson's Baby Cotton Buds x200,200pk,0.8p each,1.60,,
Sainsbury's Local,Baby,Baby,Johnson's Baby Oil Baby Skin Moisturiser & Dryness Protection 200ml,200ml,£9.00/L,1.80,,
Sainsbury's Local,Baby,Baby,Johnson's Bedtime Baby Bath 500ml,500ml,£8.30/L,4.15,,
Sainsbury's Local,Baby,Baby,Kendamil First Infant Milk 1 From Birth Breastmilk Substitute 800g,800g,£17.19/kg,13.75,,
Sainsbury's Local,Baby,Baby,Kendamil First Infant Milk 1 from Birth 250ml,250ml,£6.20/L,1.55,,
Sainsbury's Local,Baby,Baby,Kendamil Follow-on Milk 2 6-12 Months 800g,800g,£18.56/kg,14.85,,
Sainsbury's Local,Baby,Baby,Kendamil Follow-on Milk 6-12 Months 250ml,250ml,£6.20/L,1.55,,
Sainsbury's Local,Baby,Baby,Kiddylicious Strawberry & Banana Smoothie Melts 12+ Months 6g,6g,£200.00/kg,1.20,,
Sainsbury's Local,Baby,Baby,Kiddylicious Strawberry Fruit Wriggles 12+ Months 12g,12g,£100.00/kg,1.20,,
Sainsbury's Local,Baby,Baby,Kiddylicious Veggie Straws 9+ Months 4 x 12g (48g),4pk,£68.75/kg,3.30,,
Sainsbury's Local,Baby,Baby,Little Freddie Organic Blueberry & Banana Yoghurt Stage 1 +6m Smooth 100g,100g,£16.00/kg,1.60,,
Sainsbury's Local,Baby,Baby,Nurofen for Children Strawberry Oral Suspension 3mths to 9yrs Ibuprofen 100ml,100ml,£64.50/L,6.45,,
Sainsbury's Local,Baby,Baby,Organix Apple Rices Cake Apple 12+ Months 72g (4 x 18g),4pk,£50.69/kg,3.65,,
Sainsbury's Local,Baby,Baby,Organix Cocoa & Vanilla Gruffalo Biscuits 12+ Months 5 x 20g (100g),5pk,£31.50/kg,3.15,,
Sainsbury's Local,Baby,Baby,Organix Raspberry & Apple Oaty Bars 12+ Months 138g (6 x 23g),6pk,£26.45/kg,3.65,,
Sainsbury's Local,Baby,Baby,Organix Summer Fruits Rice Cake Clouds 7+ Months 40g,40g,£46.25/kg,1.85,,
Sainsbury's Local,Baby,Baby,"Pampers Baby-Dry Nappy Pants Size 5, 21 Nappies, 11kg-17kg",21pk,£0.35 each,7.30,,
Sainsbury's Local,Baby,Baby,"Pampers Baby-Dry Nappy Pants Size 6, 19 Nappies, 13kg-19kg",19pk,£0.38 each,7.30,,
Sainsbury's Local,Baby,Baby,"Pampers Baby-Dry Size 4, 25 Nappies, 9kg-14kg",25pk,£0.29 each,7.30,,
Sainsbury's Local,Baby,Baby,"Pampers Premium Protection New Baby Size 2, 31 Nappies, 4kg-8kg",31pk,£0.18 each,5.50,,
Sainsbury's Local,Baby,Baby,Sainsbury's + Healthcare Junior Paracetamol Suspension 120mg/5ml 3+ Months 100ml,100ml,£31.00/L,3.10,,
Sainsbury's Local,Baby,Baby,Sainsbury's 100 Round Cotton Wool Double Faced Pads,100pk,£0.02 each,2.00,,
Sainsbury's Local,Baby,Baby,Sainsbury's Little Ones 150 Nappy Sacks,150pk,0.733p each,1.10,,
Sainsbury's Local,Baby,Baby,Sudocrem Antiseptic Healing Cream 175g,175g,£58.29/kg,10.20,,
Sainsbury's Local,Baby,Baby,WaterWipes,60pk,£0.06 each,3.60,,
Sainsbury's Local,Baby,Baby Milk,"Aptamil 1 First Infant Baby Milk Liquid Formula, Ready to Feed, From Birth, 200ml",200ml,£8.00/L,1.60,,
Sainsbury's Local,Baby,Baby Milk,"Aptamil 1 First Infant Baby Milk Liquid Formula, from Birth, 6x200ml",6pk,£7.33/L,8.80,,
Sainsbury's Local,Baby,Baby Milk,"Aptamil 2 Follow on Liquid Formula, Ready to Feed, 6-12 months, 200ml",200ml,£7.75/L,1.55,,
Sainsbury's Local,Baby,Baby Milk,"Aptamil 3 Toddler Ready to drink Milk, for Toddlers 1-2 Years, 200ml",200ml,£7.25/L,1.45,,
Sainsbury's Local,Baby,Baby Milk,"Cow & Gate 1 First Infant Baby Milk Liquid Formula, Ready to Feed, From Birth, 200ml",200ml,£7.00/L,1.40,,
Sainsbury's Local,Baby,Baby Milk,"Cow & Gate 2 Follow On Baby Milk Formula Powder, 6-12 Months, 800g",800g,£16.50/kg,13.20,,
Sainsbury's Local,Baby,Baby Milk,Cow & Gate Toddler Milk (1-2 years) (Liquid),200ml,£7.00/L,1.40,,
Sainsbury's Local,Baby,Baby Milk,Kendamil First Infant Milk 1 From Birth Breastmilk Substitute 800g,800g,£17.19/kg,13.75,,
Sainsbury's Local,Baby,Baby Milk,Kendamil First Infant Milk 1 from Birth 250ml,250ml,£6.20/L,1.55,,
Sainsbury's Local,Baby,Baby Milk,Kendamil Follow-on Milk 2 6-12 Months 800g,800g,£18.56/kg,14.85,,
Sainsbury's Local,Baby,Baby Milk,Kendamil Follow-on Milk 6-12 Months 250ml,250ml,£6.20/L,1.55,,
Sainsbury's Local,Baby,Baby Toiletries,Johnson's Baby Cotton Buds x200,200pk,0.8p each,1.60,,
Sainsbury's Local,Baby,Baby Toiletries,Johnson's Baby Oil Baby Skin Moisturiser & Dryness Protection 200ml,200ml,£9.00/L,1.80,,
Sainsbury's Local,Baby,Baby Toiletries,Johnson's Bedtime Baby Bath 500ml,500ml,£8.30/L,4.15,,
Sainsbury's Local,Baby,Baby Toiletries,Sainsbury's 100 Round Cotton Wool Double Faced Pads,100pk,£0.02 each,2.00,,
Sainsbury's Local,Baby,Baby Toiletries,Sudocrem Antiseptic Healing Cream 175g,175g,£58.29/kg,10.20,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Bear Fruit Splits Raspberry Pineapple 5 x 20g,5pk,£37.50/kg,3.75,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Bear Fruit Splits Strawberry & Apple 5 x 20g,5pk,£37.50/kg,3.75,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks","Cow & Gate Banana Porridge Baby Cereal, 4-6+ Months, 125 g",125g,£20.40/kg,2.55,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Ella's Kitchen Organic Strawberries and Apples Baby Pouch 4+ Months 120g,120g,£13.75/kg,1.65,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Ella's Kitchen Prunes 6+ Months 70g,70g,£17.14/kg,1.20,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Ella's Kitchen Spag Bol with Cheese 7+ Months 130g,130g,£16.92/kg,2.20,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Ella's Kitchen Strawberry + Banana Melty Puffs from 6+ Months 20g,20g,£50.00/kg,1.00,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Ella's Kitchen Sweetcorn + Carrot Melty Sticks 7+ Months 16g,16g,£103.13/kg,1.65,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Ella's kitchen Cheesy Pie with Veggies 7+ Months 130g,130g,£15.77/kg,2.05,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Kiddylicious Strawberry & Banana Smoothie Melts 12+ Months 6g,6g,£200.00/kg,1.20,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Kiddylicious Strawberry Fruit Wriggles 12+ Months 12g,12g,£100.00/kg,1.20,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Kiddylicious Veggie Straws 9+ Months 4 x 12g (48g),4pk,£68.75/kg,3.30,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Little Freddie Organic Blueberry & Banana Yoghurt Stage 1 +6m Smooth 100g,100g,£16.00/kg,1.60,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Organix Apple Rices Cake Apple 12+ Months 72g (4 x 18g),4pk,£50.69/kg,3.65,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Organix Cocoa & Vanilla Gruffalo Biscuits 12+ Months 5 x 20g (100g),5pk,£31.50/kg,3.15,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Organix Raspberry & Apple Oaty Bars 12+ Months 138g (6 x 23g),6pk,£26.45/kg,3.65,,
Sainsbury's Local,Baby,"Food, Snacks & Drinks",Organix Summer Fruits Rice Cake Clouds 7+ Months 40g,40g,£46.25/kg,1.85,,
Sainsbury's Local,Baby,Health,Calpol Infant Sugar Free Oral Suspension For 2+ Months 100ml,100ml,£45.00/L,4.50,,
Sainsbury's Local,Baby,Health,Calpol Six Plus Fast Melts 6+ Years Strawberry Flavour Tablets x12,12pk,£0.65 each,7.85,,
Sainsbury's Local,Baby,Health,Calpol Six Plus Suspension Sugar Free 6+ Years Strawberry Flavour 80ml,80ml,£56.25/L,4.50,,
Sainsbury's Local,Baby,Health,Nurofen for Children Strawberry Oral Suspension 3mths to 9yrs Ibuprofen 100ml,100ml,£64.50/L,6.45,,
Sainsbury's Local,Baby,Health,Sainsbury's + Healthcare Junior Paracetamol Suspension 120mg/5ml 3+ Months 100ml,100ml,£31.00/L,3.10,,
Sainsbury's Local,Baby,"Holiday Ready, Festival Set",WaterWipes,60pk,£0.06 each,3.60,,
Sainsbury's Local,Baby,In Store Prices,Sainsbury's 100 Round Cotton Wool Double Faced Pads,100pk,£0.02 each,2.00,,
Sainsbury's Local,Baby,Nappies & Wipes,"Pampers Baby-Dry Nappy Pants Size 5, 21 Nappies, 11kg-17kg",21pk,£0.35 each,7.30,,
Sainsbury's Local,Baby,Nappies & Wipes,"Pampers Baby-Dry Nappy Pants Size 6, 19 Nappies, 13kg-19kg",19pk,£0.38 each,7.30,,
Sainsbury's Local,Baby,Nappies & Wipes,"Pampers Baby-Dry Size 4, 25 Nappies, 9kg-14kg",25pk,£0.29 each,7.30,,
Sainsbury's Local,Baby,Nappies & Wipes,"Pampers Premium Protection New Baby Size 2, 31 Nappies, 4kg-8kg",31pk,£0.18 each,5.50,,
Sainsbury's Local,Baby,Nappies & Wipes,Sainsbury's Little Ones 150 Nappy Sacks,150pk,0.733p each,1.10,,
Sainsbury's Local,Baby,Nappies & Wipes,WaterWipes,60pk,£0.06 each,3.60,,
Sainsbury's Local,Bakery,Autumn is here,Sainsbury's Taste The Difference Carrot Cake 395g,395g,£12.66/kg,5.00,,
Sainsbury's Local,Bakery,Autumn is here,Sainsbury's Taste the Difference Belgian Chocolate Cake 395g,395g,£12.66/kg,5.00,,
Sainsbury's Local,Bakery,Autumn is here,Sainsbury's Taste the Difference Coffee & Walnut Cake 400g,400g,£12.50/kg,5.00,,
Sainsbury's Local,Bakery,Autumn is here,Sainsbury's Taste the Difference Lemon Drizzle Cake 405g,405g,£12.35/kg,5.00,,
Sainsbury's Local,Bakery,Autumn is here,Sainsbury's Taste the Difference Red Velvet Cake 390g,390g,£12.82/kg,5.00,,
Sainsbury's Local,Bakery,Autumn is here,Sainsbury's Taste the Difference Victoria Sponge Cake 345g,345g,£14.49/kg,5.00,,
Sainsbury's Local,Bakery,Bakery,Allinson's The Champion Wholemeal Batch Bread 650g,650g,£3.92/kg,2.55,,
Sainsbury's Local,Bakery,Bakery,Black Sheep Craft Tiger Bloomer Bread 800g,800g,£3.38/kg,2.70,,
Sainsbury's Local,Bakery,Bakery,Bonne Maman 7 La Madeleine All Butter 175g,175g,£23.14/kg,4.05,,
Sainsbury's Local,Bakery,Bakery,Bonne Maman La Madeleine 210g,210g,£19.29/kg,4.05,,
Sainsbury's Local,Bakery,Bakery,Cadbury 10 Milk Chocolate Mini Rolls,10pk,£0.52 each,5.15,,
Sainsbury's Local,Bakery,Bakery,Cadbury 5 Milk Chocolate Mini Rolls,5pk,£0.68 each,3.40,,
Sainsbury's Local,Bakery,Bakery,Daelmans 8 Stroopwafels Caramel 230g,8pk,£13.48/kg,3.10,,
Sainsbury's Local,Bakery,Bakery,Daelmans Minis Caramel Stroopwafels 200g,200g,£15.50/kg,3.10,,
Sainsbury's Local,Bakery,Bakery,Deli Kitchen 4 Greek Style Flatbreads 320g,4pk,£7.97/kg,2.55,,
Sainsbury's Local,Bakery,Bakery,Elephant Atta 8 Chapattis 360g,360g,£6.25/kg,2.25,,
Sainsbury's Local,Bakery,Bakery,Jason's No1 The Great White Sourdough 450g,450g,£6.33/kg,2.85,,
Sainsbury's Local,Bakery,Bakery,Jason's Sourdough Grains & Seeds 580g,580g,£4.91/kg,2.85,,
Sainsbury's Local,Bakery,Bakery,Kingsmill 50/50 Medium Bread 800g,800g,£2.25/kg,1.80,,
Sainsbury's Local,Bakery,Bakery,McVitie's Jamaica Ginger Sticky Pudding Cake,245g,£8.98/kg,2.20,,
Sainsbury's Local,Bakery,Bakery,Mission Original Mini Tortilla Wraps 6 Pack,6pk,£0.17 each,1.00,1.40,£0.40 off
Sainsbury's Local,Bakery,Bakery,Mission Original Tortilla Wraps 6 Pack,6pk,£0.36 each,2.15,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 5 Mini Battenbergs,5pk,£0.74 each,3.70,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 6 Almond Slices,6pk,£0.60 each,3.60,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 6 Bakewell Slices,6pk,£0.60 each,3.60,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 6 Bramley Apple Pies,6pk,£0.73 each,4.35,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 6 Cherry Bakewells,6pk,£0.73 each,4.35,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 6 Country Slices,6pk,£0.60 each,3.60,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 6 Viennese Whirls,6pk,£0.62 each,3.70,,
Sainsbury's Local,Bakery,Bakery,Mr Kipling 8 French Fancies,8pk,£0.28 each,2.25,3.75,£1.50 off
Sainsbury's Local,Bakery,Bakery,Mr Kipling 8 Frosty Fancies,8pk,£0.36 each,2.90,,
Sainsbury's Local,Bakery,Bakery,Mrs Crimble's 6 Big Choc Macaroons 195g,195g,£12.05/kg,2.35,,
Sainsbury's Local,Bakery,Bakery,New York Bakery Cinnamon and Raisin 5 Pack Bagels,5pk,£0.48 each,2.40,,
Sainsbury's Local,Bakery,Bakery,New York Bakery Original 5 Pack Bagels,5pk,£0.48 each,2.40,,
Sainsbury's Local,Bakery,Bakery,New York Bakery Sesame 5 Pack Bagels,5pk,£0.48 each,2.40,,
Sainsbury's Local,Bakery,Bakery,New York Bakery Sourdough 5 Pack Bagels,5pk,£0.48 each,2.40,,
Sainsbury's Local,Bakery,Bakery,Old El Paso 8 Regular Tortillas Flour 326g,326g,£7.67/kg,2.50,,
Sainsbury's Local,Bakery,Bakery,Old El Paso 8 Tortilla Pockets 223g,223g,£10.09/kg,2.25,2.95,£0.70 off
Sainsbury's Local,Bakery,Bakery,Pukka All Steak,233g,£13.09/kg,3.05,,
Sainsbury's Local,Bakery,Bakery,Regal Bakery 18 Madeira Cake Slices 370g,370g,£7.43/kg,2.75,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 10 Milk Chocolate Mini Rolls 268g (10 x 26.8g),10pk,£5.60/kg,1.50,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 2 Bake at Home White Baguettes 300g,2pk,£6.00/kg,1.80,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 22 Millionaire Bites 240g,240g,£15.63/kg,3.75,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 4 Garlic & Coriander Mini Naans 188g,188g,£7.71/kg,1.45,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 4 Large Soft Wholemeal Rolls,4pk,£0.38 each,1.50,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 4 Pains Au Chocolat 208g,4pk,£13.46/kg,2.80,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 6 Mince Pies 320g,6pk,£4.84/kg,1.55,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 6 Mini Melton Mowbray Pork Pies 300g,6pk,£1.81/kg,3.25,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 6 Plain Folded Flatbreads,6pk,£0.33 each,1.95,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 6 Sweet Pancakes 375g,375g,£8.27/kg,3.10,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 6 White Pittas,6pk,£0.13 each,0.80,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's 8 Plain Tortilla Wraps 496g,8pk,£3.33/kg,1.65,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's All Butter Flapjack Mini Bites 335g,335g,£13.88/kg,4.65,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Bake at Home Stonebaked White Baguettes, Taste the Difference x2 250g",2pk,£1.20 each,2.40,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Bakewell Slices x4,180g,£10.00/kg,1.80,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Birthday & Celebration Wiggles the Caterpillar 613g,613g,£13.54/kg,8.30,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Blueberry Pancakes, Taste the Difference x4 240g",4pk,£0.59 each,2.35,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Brioche Burger Buns x4,4pk,£0.30 each,1.20,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Brioche Hot Dog Rolls x6,6pk,£0.27 each,1.60,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Brownie Bites x20,180g,£20.83/kg,3.75,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Butter Brioche Roll x8,8pk,£0.29 each,2.30,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Buttermilk Pancakes, Taste the Difference x4",4pk,£0.60 each,2.40,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Caramel Shortcake Cake Slices x4,132g,£14.77/kg,1.95,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Chocolate & Orange Mini Rolls 265g,265g,£17.55/kg,4.65,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Chocolate Chip Panettone 100g,100g,£19.50/kg,1.95,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Chocolate Cornflake Clusters x15,120g,£31.25/kg,3.75,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Chocolate Filled Crepes x6,6pk,£0.29 each,1.75,2.40,£0.65 off
Sainsbury's Local,Bakery,Bakery,Sainsbury's Classic Panettone 100g,100g,£19.50/kg,1.95,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Croissants x6 240g,6pk,£0.33 each,2.00,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Double Chocolate Brownie Mini Bites 240g,240g,£19.38/kg,4.65,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Double Chocolate Mini Rolls Cake Bites Tub 295g,295g,£15.76/kg,4.65,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Egg Custard Tarts 2 x 81g (162g),2pk,£8.33/kg,1.35,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Flapjack Bites x20,240g,£15.63/kg,3.75,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Frangipane Mince Pies, Taste the Difference x4 185g",4pk,£0.98 each,3.90,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Half Ciabatta, Taste the Difference x2",270g,£10.74/kg,2.90,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Madeira Cake 275g,275g,£9.09/kg,2.50,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Melton Mowbray Pork Pie 145g,145g,£13.10/kg,1.90,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Milk Chocolate Chip Brioche Roll x8,8pk,£0.29 each,2.30,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Milk Chocolate Flapjack Bites x18,216g,£17.36/kg,3.75,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Millionaire's Mini Bites 260g,260g,£17.88/kg,4.65,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Mini Pork Pies 100g,100g,£16.00/kg,1.60,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Mini Shortcake Cake Bites x20,200g,£18.75/kg,3.75,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Pains Au Chocolat x6 270g,6pk,£0.33 each,2.00,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Rocky Road Bites x18,144g,£26.04/kg,3.75,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Seeded Sourdough Loaf Bread, Taste the Difference 400g",400g,£6.38/kg,2.55,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Soft Multiseed Farmhouse Thick Sliced Wholemeal Bread, Taste the Difference 800g",800g,£2.94/kg,2.35,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Sourdough Medium Sliced White Bread, Taste the Difference 400g",400g,£6.50/kg,2.60,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Strawberry Jam & Cream Doughnuts 2x63g,126g,£17.46/kg,2.20,,
Sainsbury's Local,Bakery,Bakery,"Sainsbury's Sultana Scones, Taste the Difference x4",4pk,£0.68 each,2.70,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste The Difference Carrot Cake 395g,395g,£12.66/kg,5.00,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste the Difference 4 All Butter Croissants 228g,4pk,£14.69/kg,3.35,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste the Difference 6 All Butter Mince Pies 325g,6pk,£12.00/kg,3.90,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste the Difference 8 Meringue Nests,8pk,£25.00/kg,2.70,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste the Difference Belgian Chocolate Cake 395g,395g,£12.66/kg,5.00,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste the Difference Coffee & Walnut Cake 400g,400g,£12.50/kg,5.00,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste the Difference Lemon Drizzle Cake 405g,405g,£12.35/kg,5.00,,
Sainsbury's Local,Bakery,Bakery,Sainsbury's Taste the Difference Multiseed Wholemeal Farmhouse Loaf 430g,430g,£4.19/kg,1.80,,
